title,info,author,narrator,release_date,publisher,listening_length,language,version,program_type,copyright,ratings,number_of_reviews
"Thinking, Fast and Slow"," Brought to you by Penguin.Daniel Kahneman's pioneering work that tackles questions of intuition and rationality, read by Patrick Egan.In Thinking, Fast and Slow, Kahneman takes us on a ground-breaking tour of the mind and explains the two systems that drive the way we think and make choices. One system is fast, intuitive and emotional; the other is slower, more deliberative and more logical. Kahneman exposes the extraordinary capabilities-and also the faults and biases-of fast thinking and reveals the pervasive influence of intuitive impressions on our thoughts and behaviour. The importance of properly framing risks, the effects of cognitive biases on how we view others, the dangers of prediction, the right ways to develop skills, the pros and cons of fear and optimism, the difference between our experience and memory of events, the real components of happiness-each of these can be understood only by knowing how the two systems work together to shape our judgements and decisions.Drawing on a lifetime's experimental experience, Kahneman reveals where we can and cannot trust our intuitions and how we can tap into the benefits of slow thinking. He offers practical and enlightening insights into how choices are made in both our professional and our personal lives-and how we can use different techniques to guard against the mental glitches that often get us into trouble. Thinking, Fast and Slow will transform the way you take decisions and experience the world. ",Daniel Kahneman,Patrick Egan, 23 December 2011 ,Penguin Audio, 20 hours and 4 minutes , English , Unabridged , Audiobook ,©2011 Daniel Kahneman (P)2011 Penguin Audio,4.5 out of 5 stars,"29,205 ratings"
"The Courage to Be Disliked : How to Free Yourself, Change Your Life and Achieve Real Happiness"," The Japanese phenomenon that teaches us the simple yet profound lessons required to liberate our real selves and find lasting happiness. The Courage to Be Disliked shows you how to unlock the power within yourself to become your best and truest self, change your future and find lasting happiness. Using the theories of Alfred Adler, one of the three giants of 19th-century psychology alongside Freud and Jung, the authors explain how we are all free to determine our own future - free of the shackles of past experiences, doubts and the expectations of others. It's a philosophy that's profoundly liberating, allowing us to develop the courage to change and to ignore the limitations that we and those around us can place on ourselves. The result is an audiobook that is both highly accessible and profound in its importance. Millions have already benefited from its wisdom. Now that The Courage to Be Disliked has been published in English, so can you. Please note: This is a recording of the 2018 print edition.  ",Fumitake Koga,Adrian Mulraney, 22 February 2018 ,Bolinda Publishing Pty Ltd, 6 hours and 50 minutes , English , Unabridged , Audiobook ,©2017 Ichiro Kishimi & Fumitake Koga (P)2018 Bolinda Publishing Pty Ltd,4.5 out of 5 stars,"12,534 ratings"
Hyperfocus: How to Work Less to Achieve More," 'The most productive man you'd ever hope to meet' – TED  Hyperfocus by Chris Bailey is a practical guide to managing your attention – the most powerful resource you have to become more creative, get stuff done, and live a more meaningful life.  In Hyperfocus, you will learn:How working fewer hours can increase our productivityHow we get more done by making our work harder, not easierHow we do our best creative work when we're the most tiredOur attention has never been as overwhelmed as it is today and we've never been so busy while accomplishing so little.  In Hyperfocus, Chris Bailey provides profound insights into how we can best manage our attention. He reveals how the brain switches between two mental modes – hyperfocus, our deep concentration mode, and scatterfocus, our creative, reflective mode – and how the surest path to being our most creative and efficient selves at work is to combine them both. ",Chris Bailey,Chris Bailey, 6 September 2018 ,Macmillan Digital Audio, 6 hours and 39 minutes , English , Unabridged , Audiobook ,©2018 Chris Bailey (P)2018 Penguin Random House LLC,4.4 out of 5 stars,"3,005 ratings"
Can't Hurt Me: Master Your Mind and Defy the Odds," New York Times best-seller. Over five million copies soldFor David Goggins, childhood was a nightmare--poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force tactical air controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him the Fittest (Real) Man in America.In Can't Hurt Me, he shares his astonishing life story and reveals that most of us tap into only 40 percent of our capabilities. Goggins calls this The 40% Rule, and his story illuminates a path that anyone can follow to push past pain, demolish fear, and reach their full potential.An annotated edition of Can't Hurt Me, offering over two hours of bonus content featuring deeper insights and never-before-told stories shared by David. Not available in other formats. ",David Goggins,David Goggins, 28 November 2018 ,Lioncrest Publishing, 13 hours and 37 minutes , English , Unabridged , Audiobook ,"©2018 Goggins Built Not Born, LLC (P)2018 Goggins Built Not Born, LLC",4.6 out of 5 stars,"70,386 ratings"
Norwegian Wood," Brought to you by Penguin.When he hears her favourite Beatles song, Toru Watanabe recalls his first love Naoko, the girlfriend of his best friend Kizuki. Immediately he is transported back almost 20 years to his student days in Tokyo, adrift in a world of uneasy friendships, casual sex, passion, loss and desire - to a time when an impetuous young woman called Midori marches into his life and he has to choose between the future and the past. ",Haruki Murakami,Adam Sims, 29 October 2020 ,Penguin Audio, 12 hours and 28 minutes , English , Unabridged , Audiobook ,©2000 Haruki Murakami (P)2020 Penguin Audio,4.5 out of 5 stars,"17,915 ratings"
The 48 Laws of Power," Amoral, cunning, ruthless, and instructive, this piercing work distills 3,000 years of the history of power into 48 well-explicated laws. This bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of Machiavelli, Sun-tzu, Carl von Clausewitz, and other great thinkers. Some laws teach the need for prudence (""Law 1: Never Outshine the Master"") and the virtue of stealth (""Law 3: Conceal Your Intentions""); many demand the total absence of mercy (""Law 15: Crush Your Enemy Totally""). But like it or not, all have applications in real life. Illustrated through the tactics of Queen Elizabeth I, Henry Kissinger, P. T. Barnum, and other famous figures who have wielded, or been victimized by, power, these laws will fascinate any listener interested in gaining, observing, or defending against ultimate control. ",Robert Greene,Don Leslie, 25 April 2007 ,"HighBridge, a division of Recorded Books", 9 hours and 52 minutes , English , Abridged , Audiobook ,©2000 Robert Greene and Joost Elffers (P)2007 HighBridge Company,4.6 out of 5 stars,14 ratings
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life," Stop going through life,  Start growing through life!While navigating their way through Mumbai's horrendous traffic, Gaur Gopal Das and his wealthy young friend, Harry, get talking, delving into concepts ranging from the human condition to finding one's purpose in life and the key to lasting happiness.Whether you are looking at strengthening your relationships, discovering your true potential, understanding how to do well at work, or even how you can give back to the world, Gaur Gopal Das takes us on an unforgettable journey with his precious insights on these areas of life.Das is one of the most popular and sought-after monks and life coaches in the world, having shared his wisdom with millions. His debut, Life's Amazing Secrets, distills his experiences and lessons about life into a light-hearted, thought-provoking audiobook that will help you align yourself with the life you want to live.PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio.  ",Gaur Gopal Das,Gaur Gopal Das, 10 December 2019 ,Random House Audio, 6 hours and 25 minutes , English , Unabridged , Audiobook ,©2018 Gaur Gopal Das (P)2019 Random House Audio,4.6 out of 5 stars,"23,076 ratings"
The Intelligent Investor Rev Ed.," The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions The greatest investment advisor of the 20th century, Benjamin Graham taught and inspired people worldwide. Graham's philosophy of ""value investing"" - which shields investors from substantial error and teaches them to develop long-term strategies - has made The Intelligent Investor the stock market Bible ever since its original publication in 1949. Over the years, market developments have proven the wisdom of Graham's strategies. While preserving the integrity of Graham's original text, this revised edition includes updated commentary by noted financial journalist Jason Zweig, whose perspective incorporates the realities of today's market, draws parallels between Graham's examples and today's financial headlines, and gives listeners a more thorough understanding of how to apply Graham's principles. Vital and indispensable, this HarperBusiness Essentials edition of The Intelligent Investor is the most important book you will ever listen on how to reach your financial goals.  ",Benjamin Graham,Luke Daniels, 7 July 2015 ,HarperAudio, 17 hours and 48 minutes , English , Unabridged , Audiobook ,"©1973, 2003 Benjamin Graham; new material copyright by Jason Zweig (P)2015 HarperCollins Publishers",4.5 out of 5 stars,"39,099 ratings"
Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger," From the legendary vice-chairman of Berkshire Hathaway, lessons in investment strategy, philanthropy, and living a rational and ethical life.  ""Spend each day trying to be a little wiser than you were when you woke up,"" Charles T. Munger advises in Poor Charlie’s Almanack. Originally published in 2005, this compendium of 11 talks, delivered by the legendary Berkshire Hathaway vice-chairman between 1986 and 2007, has become a touchstone for a generation of investors and entrepreneurs seeking to absorb the enduring wit and wisdom of one of the great minds of the 20th and 21st centuries.   Edited by Peter D. Kaufman, chairman and CEO of Glenair and longtime friend of Charlie Munger—whom he calls “this generation’s answer to Benjamin Franklin”—this abridged Stripe Press edition of Poor Charlie’s Almanack features a brand-new foreword by Stripe cofounder John Collison. Poor Charlie’s Almanack draws on Munger’s encyclopedic knowledge of business, finance, history, philosophy, physics, and ethics—and more besides—to introduce the latticework of mental models that underpin his rational and rigorous approach to life, learning, and decision-making. Delivered with Munger’s characteristic sharp wit and rhetorical flair, it is an essential volume for any listener seeking to go to bed a little wiser than when they woke up. ",Charles T. Munger,Grover Gardener, 5 December 2023 ,Stripe Press, 13 hours and 9 minutes , English , Unabridged , Audiobook ,"©2023 PCA Publications, LLC (P)2023 Stripe Press",4.7 out of 5 stars,392 ratings
The 5 AM Club," Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.Now, in this life-changing audiobook, handcrafted by the author over a rigorous four-year period, you will discover the early-rising habit that has helped so many accomplish epic results while upgrading their happiness, helpfulness and feelings of aliveness.Through an enchanting - and often amusing - story about two struggling strangers who meet an eccentric tycoon who becomes their secret mentor, The 5am Club will walk you through:How great geniuses, business titans and the world’s wisest people start their mornings to produce astonishing achievements.A little-known formula you can use instantly to wake up early feeling inspired, focused and flooded with a fiery drive to get the most out of each day.A step-by-step method to protect the quietest hours of daybreak so you have time for exercise, self-renewal and personal growth.A neuroscience-based practice proven to help make it easy to rise while most people are sleeping, giving you precious time for yourself to think, express your creativity and begin the day peacefully instead of being rushed. ‘Insider only’ tactics to defend your gifts, talents and dreams against digital distraction and trivial diversions so you enjoy fortune, influence and a magnificent impact on the world.Part manifesto for mastery, part playbook for genius-grade productivity and part companion for a life lived beautifully, The 5AM Club is a work that will transform your life. Forever.PLEASE NOTE: When you purchase this title, the accompanying reference material will be available in your Library section along with the audio on our desktop site.  ",Robin Sharma,Adam Verner, 6 December 2018 ,HarperCollins Publishers Limited, 11 hours and 4 minutes , English , Unabridged , Audiobook ,©2018 Robin Sharma (P)2018 HarperCollins Publishers,4.5 out of 5 stars,"31,185 ratings"
Chanakya Neeti," Chanakya was an Indian teacher, philosopher, and royal advisor. He managed the first Maurya emperor Chandragupta’s rise to power at a young age. He is widely credited for having played an important role in the establishment of the Maurya Empire, which was the first empire in archaeologically recorded history to rule most of the Indian subcontinent.Chanakya is traditionally identified as Kautilya or Vishnu Gupta, who authored the ancient Indian political treatise called Arthasastra. As such, he is considered as the pioneer of the field of economics and political science in India, and his work is thought of as an important precursor to classical economics.  ",Acharya Chanakya,Rishi Upadhyay, 28 July 2018 ,Audible Studios, 5 hours and 2 minutes , Hindi , Unabridged , Audiobook ,"Public Domain (P)2018 Audible, Inc.",4.4 out of 5 stars,"5,601 ratings"
Breaking the Mould: Reimagining India's Economic Future," Where is India going today? Is it surging forward, having just overtaken the United Kingdom to become the fifth-largest economy in the world? Or is it flailing, unable to provide jobs for the millions joining the labor force? What should India do to secure a better future?India is at a crossroads today. Its growth rate, while respectable relative to other large countries, is too low for the jobs our youth need. Intense competition in low-skilled manufacturing, increasing protectionism globally and growing automation make the situation still more difficult. Divisive majoritarianism does not help. India broke away from the standard development path―from agriculture to low-skilled manufacturing, then high-skilled manufacturing and, finally, services―a long time back by leapfrogging the intermediate steps. Rather than attempting to revert to development paths that may not be feasible any more, we must embark on a truly Indian path.In this book, the authors explain how we can accelerate economic development by investing in our people’s human capital, expanding opportunities in high-skilled services and manufacturing centered on innovative new products, and making India a ferment of ideas and creativity. India’s democratic traditions will support this path, helped further by governance reforms, including strengthening our democratic institutions and greater decentralization.The authors offer praise where the Indian establishment has been successful but are clear-eyed in pointing out its weaknesses. They urge India to break free from the shackles of the past and look to the possibilities of the future. Written with unusual candor, and packed with vivid examples and persuasive arguments, this is a book for anyone who has a stake in India’s future.PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio. ",Raghuram Rajan,Adwait Karambelkar, 13 December 2023 ,Random House Audio, 11 hours and 56 minutes , English , Unabridged , Audiobook ,©2023 Raghuram Rajan and Rohit Lamba (P)2023 Random House Audio,4.6 out of 5 stars,119 ratings
Never Split the Difference: Negotiating as if Your Life Depended on It," Brought to you by Penguin.  THE HUGE INTERNATIONAL BESTSELLER  A former FBI hostage negotiator offers a new, field-tested approach to negotiating - effective in any situation.  After a stint policing the rough streets of Kansas City, Missouri, Chris Voss joined the FBI, where his career as a kidnapping negotiator brought him face-to-face with bank robbers, gang leaders and terrorists. Never Split the Difference takes you inside his world of high-stakes negotiations, revealing the nine key principles that helped Voss and his colleagues succeed when it mattered the most - when people's lives were at stake.  Rooted in the real-life experiences of an intelligence professional at the top of his game, Never Split the Difference will give you the competitive edge in any discussion. ",Chris Voss,Michael Kramer, 20 June 2019 ,Penguin Audio, 8 hours and 7 minutes , English , Unabridged , Audiobook ,©2016 Chris Voss (P)2019 Penguin Audio,4.6 out of 5 stars,"40,744 ratings"
Mythos," Step into another world - of magic, mayhem, monsters and maniacal gods - in Stephen Fry's momentous Sunday Times and Audible best seller, Mythos.Discover Stephen Fry's magnificent retelling of the greatest myths and legends ever told....No one loves and quarrels, desires and deceives as boldly or brilliantly as Greek gods and goddesses.In Stephen Fry's vivid retelling, we gaze in wonder as wise Athena is born from the cracking open of the great head of Zeus and follow doomed Persephone into the dark and lonely realm of the Underworld.Shiver in fear when Pandora opens her jar of evil torments.Listen with joy as the legendary love affair between Eros and Psyche unfolds.Read by Stephen Fry himself, Mythos captures these extraordinary myths for our modern age - in all their dazzling and deeply human relevance.If you're enthralled by the magic of Greek mythology you'll love Fry's follow-up books Heroes and Troy, with tales of mortals and monsters, quests and adventures. ",Stephen Fry,Stephen Fry, 2 November 2017 ,Penguin Audio, 15 hours and 25 minutes , English , Unabridged , Audiobook ,©2017 Stephen Fry (P)2017 Penguin Audio,4.6 out of 5 stars,"18,341 ratings"
Zero to One," What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ""Every new creation goes from zero to one. This book is about how to get there. Peter Thiel has built multiple breakthrough companies, and Zero to One shows how."" (Elon Musk, CEO of SpaceX and Tesla) ",Peter Thiel,Blake Masters, 4 June 2015 ,Random House Audiobooks, 4 hours and 50 minutes , English , Unabridged , Audiobook ,©2014 Peter Thiel (P)2014 Random House Audiobooks,4.5 out of 5 stars,"30,348 ratings"
Autobiography of a Yogi," When Autobiography of a Yogi first appeared in 1946, it was acclaimed as a landmark work in its field. The New York Times hailed it as ""a rare account"". Newsweek pronounced it ""fascinating"". The San Francisco Chronicle declared, ""Yogananda presents a convincing case for yoga, and those who 'came to scoff' may remain 'to pray."" Today it is still one of the most widely read and respected books ever published on the wisdom of the East.This audio edition, featuring Academy Award winner Ben Kingsley's masterful narration, contains the complete text of Paramahansa Yogananda's life story, an absorbing account of a singular search for Truth. Yogananda describes his experiences with modern-day saints and illuminated masters of India, and presents a definitive introduction to the whole science and philosophy of Yoga. ",Paramahansa Yogananda,Ben Kingsley, 7 October 2004 ,Self-Realization Fellowship, 17 hours and 50 minutes , English , Unabridged , Audiobook ,"©1981, 1998, 2007 Self-Realization Fellowship (P)1996, 2000 Self-Realization Fellowship",4.6 out of 5 stars,"18,763 ratings"
Think and Grow Rich," ""Think and Grow Rich"" is a motivational personal development and selfhelp audiobook written by Napoleon Hill and inspired by a suggestion from Scottish-American businessman Andrew Carnegie.  While the title implies that this book deals only with how to achieve monetary wealth, the author explains that the philosophy taught in the book can be used to help individuals do or be almost anything they want in this world. For instance, Jim Murray (sportswriter) wrote that ""Think and Grow Rich"" was credited for Ken Norton's boxing upset of Muhammad Ali in 1973.  The book was first published in 1937 during the Great Depression. At the time of Hill's death in 1970, ""Think and Grow Rich"" had sold 20 million copies. It remains the biggest seller of Napoleon Hill's books, a perennial bestseller after 70 years (BusinessWeek Magazine's BestSeller List ranked ""Think and Grow Rich"" as the sixth bestselling paperback business book 70 years after it was first published).  ""Think and Grow Rich"" is listed in John C. Maxwell's ""A Lifetime Must Read Books List"". ",Napoleon Hill,Russ Williams, 1 September 2017 ,SAGA Egmont, 10 hours and 15 minutes , English , Unabridged , Audiobook ,©2017 SAGA Egmont (P)2017 SAGA Egmont,4.4 out of 5 stars,"73,931 ratings"
